Column1,Column2,Login_date_time,IP address
3,458,7/1/2017 18:25,0
4,458,7/1/2017 18:26,0
10,458,9/1/2017 11:13,0
11,458,9/1/2017 11:34,0
26,458,10/1/2017 12:14,0
27,458,10/1/2017 12:33,0
32,458,10/1/2017 12:50,0
37,458,10/1/2017 15:33,0
45,458,11/1/2017 11:43,0
49,458,11/1/2017 12:03,0
51,458,11/1/2017 12:15,0
53,458,11/1/2017 12:28,0
59,458,11/1/2017 15:15,0
63,458,11/1/2017 15:56,0
73,458,12/1/2017 15:00,0
82,458,13/1/2017 12:03,0
85,458,13/1/2017 12:49,0
94,458,14/1/2017 10:40,0
105,458,16/1/2017 11:21,0
113,458,16/1/2017 16:32,0
116,458,17/1/2017 11:17,0
118,458,17/1/2017 11:23,0
122,458,17/1/2017 15:31,0
129,458,17/1/2017 18:46,0
131,458,18/1/2017 11:31,0
134,458,18/1/2017 12:11,0
137,458,18/1/2017 12:17,0
140,458,18/1/2017 12:53,0
148,458,19/1/2017 12:03,0
151,458,19/1/2017 13:00,0
160,458,20/1/2017 16:50,0
161,458,21/1/2017 11:42,0
168,458,23/1/2017 11:33,0
180,458,23/1/2017 18:13,0
183,458,24/1/2017 12:22,0
188,458,24/1/2017 14:39,0
190,458,24/1/2017 17:08,0
192,458,25/1/2017 11:17,0
196,458,25/1/2017 15:26,0
198,458,25/1/2017 18:20,0
206,458,27/1/2017 17:04,0
213,458,27/1/2017 18:40,0
223,458,28/1/2017 16:38,0
230,458,28/1/2017 17:03,0
232,458,28/1/2017 17:08,0
234,458,28/1/2017 17:13,0
237,458,30/1/2017 12:34,0
238,458,30/1/2017 12:42,0
249,458,31/1/2017 13:39,0
253,458,31/1/2017 14:17,0
267,458,1/2/2017 11:57,0
269,458,1/2/2017 13:17,0
274,458,2/2/2017 12:18,0
277,458,2/2/2017 13:45,0
293,458,4/2/2017 12:40,0
297,458,4/2/2017 17:52,0
303,458,6/2/2017 11:04,0
310,458,7/2/2017 12:11,0
315,458,8/2/2017 13:14,0
317,458,8/2/2017 14:49,0
325,458,9/2/2017 11:02,0
327,458,9/2/2017 12:30,0
331,458,9/2/2017 13:21,0
334,458,9/2/2017 14:51,0
337,458,9/2/2017 16:26,0
346,458,10/2/2017 11:25,0
349,458,10/2/2017 12:06,0
354,458,10/2/2017 13:57,0
367,458,11/2/2017 12:25,0
373,458,13/2/2017 11:02,0
374,458,13/2/2017 11:21,0
379,458,13/2/2017 18:35,0
380,458,14/2/2017 10:44,0
382,458,14/2/2017 15:52,0
383,458,14/2/2017 15:54,0
385,458,15/2/2017 14:46,0
393,458,16/2/2017 12:00,0
398,458,16/2/2017 18:21,0
404,458,17/2/2017 11:04,0
407,458,17/2/2017 12:06,0
410,458,17/2/2017 12:49,0
423,458,18/2/2017 12:31,0
429,458,20/2/2017 10:36,0
430,458,20/2/2017 11:08,0
439,458,21/2/2017 12:39,0
449,458,22/2/2017 17:33,0
452,458,23/2/2017 13:38,0
458,458,25/2/2017 11:14,0
462,458,27/2/2017 10:52,0
464,458,27/2/2017 17:27,0
466,458,28/2/2017 13:14,0
469,458,28/2/2017 17:53,0
473,458,1/3/2017 11:56,0
476,458,1/3/2017 15:10,0
479,458,1/3/2017 15:43,0
481,458,2/3/2017 12:29,0
496,458,3/3/2017 12:42,0
499,458,3/3/2017 16:10,0
507,458,4/3/2017 11:20,0
510,458,4/3/2017 11:43,0
522,458,4/3/2017 16:45,0
526,458,4/3/2017 18:49,0
530,458,6/3/2017 10:58,0
535,458,6/3/2017 14:08,0
541,458,7/3/2017 11:17,0
549,458,7/3/2017 17:21,0
552,458,7/3/2017 18:48,0
558,458,8/3/2017 12:37,0
564,458,8/3/2017 14:42,0
568,458,8/3/2017 18:18,0
574,458,9/3/2017 12:25,0
580,458,10/3/2017 10:56,0
583,458,10/3/2017 17:15,0
584,458,10/3/2017 17:16,0
586,458,10/3/2017 18:41,0
591,458,11/3/2017 10:57,0
592,458,11/3/2017 10:57,0
593,458,11/3/2017 10:57,0
596,458,11/3/2017 11:18,0
599,458,11/3/2017 15:05,0
605,458,14/3/2017 11:50,0
619,458,15/3/2017 11:50,0
630,458,15/3/2017 13:24,0
635,458,16/3/2017 11:33,0
644,458,17/3/2017 15:15,0
645,458,17/3/2017 15:43,0
648,458,17/3/2017 16:00,0
654,458,18/3/2017 16:20,0
659,458,20/3/2017 14:18,0
665,458,21/3/2017 11:34,0
667,458,21/3/2017 17:46,0
669,458,21/3/2017 17:48,0
671,458,22/3/2017 12:47,0
674,458,22/3/2017 17:01,0
676,458,22/3/2017 17:35,0
678,458,23/3/2017 10:44,0
680,458,24/3/2017 13:12,0
684,458,25/3/2017 10:55,0
694,458,27/3/2017 11:30,0
699,458,28/3/2017 13:47,0
700,458,28/3/2017 13:56,0
702,458,28/3/2017 14:26,0
706,458,29/3/2017 15:11,0
710,458,30/3/2017 13:08,0
717,458,31/3/2017 12:26,0
723,458,1/4/2017 13:51,0
1,466,7/1/2017 18:24,0
2,466,7/1/2017 18:24,0
5,592,7/1/2017 19:09,0
6,393,8/1/2017 0:41,0
7,592,8/1/2017 9:14,0
8,592,8/1/2017 11:18,0
9,636,8/1/2017 11:27,0
12,413,9/1/2017 12:29,0
13,413,9/1/2017 12:40,0
14,592,9/1/2017 12:47,0
15,413,9/1/2017 14:08,0
16,500,9/1/2017 14:33,0
17,585,9/1/2017 15:35,0
18,492,9/1/2017 15:47,0
19,470,9/1/2017 16:11,0
20,393,9/1/2017 16:22,0
21,592,9/1/2017 16:31,0
22,592,9/1/2017 17:03,0
23,592,9/1/2017 20:06,0
24,639,9/1/2017 20:16,0
25,592,10/1/2017 10:55,0
28,462,10/1/2017 12:34,0
29,462,10/1/2017 12:38,0
30,462,10/1/2017 12:38,0
31,462,10/1/2017 12:49,0
33,592,10/1/2017 13:03,0
34,413,10/1/2017 14:36,0
35,640,10/1/2017 15:14,0
36,413,10/1/2017 15:22,0
38,492,10/1/2017 16:07,0
39,592,10/1/2017 17:27,0
40,470,10/1/2017 17:29,0
41,554,10/1/2017 17:37,0
42,470,10/1/2017 17:41,0
43,466,10/1/2017 19:12,0
44,592,11/1/2017 11:33,0
46,478,11/1/2017 11:44,0
47,478,11/1/2017 11:51,0
48,500,11/1/2017 12:03,0
50,500,11/1/2017 12:11,0
52,500,11/1/2017 12:18,0
54,528,11/1/2017 13:46,0
55,470,11/1/2017 14:48,0
56,500,11/1/2017 15:00,0
57,500,11/1/2017 15:05,0
58,470,11/1/2017 15:14,0
60,500,11/1/2017 15:33,0
61,413,11/1/2017 15:40,0
62,500,11/1/2017 15:43,0
64,450,11/1/2017 16:22,0
65,470,11/1/2017 17:12,0
66,500,11/1/2017 17:20,0
67,470,12/1/2017 7:20,0
68,450,12/1/2017 10:21,0
69,500,12/1/2017 10:41,0
70,640,12/1/2017 11:49,0
71,592,12/1/2017 12:34,0
72,478,12/1/2017 14:30,0
74,592,12/1/2017 15:08,0
75,470,12/1/2017 15:22,0
76,536,12/1/2017 15:57,0
77,511,12/1/2017 18:48,0
78,393,12/1/2017 18:52,0
79,592,13/1/2017 11:01,0
80,450,13/1/2017 11:16,0
81,450,13/1/2017 11:59,0
83,450,13/1/2017 12:04,0
84,500,13/1/2017 12:17,0
86,635,13/1/2017 13:06,0
87,492,13/1/2017 13:38,0
88,500,13/1/2017 13:55,0
89,635,13/1/2017 13:57,0
90,470,13/1/2017 14:02,0
91,450,13/1/2017 15:04,0
92,635,13/1/2017 17:39,0
93,485,13/1/2017 17:41,0
95,413,14/1/2017 11:57,0
96,450,14/1/2017 14:05,0
97,393,14/1/2017 17:22,0
98,470,15/1/2017 7:05,0
99,470,15/1/2017 7:35,0
100,450,15/1/2017 11:59,0
101,592,15/1/2017 21:11,0
102,393,15/1/2017 23:47,0
103,541,16/1/2017 10:24,0
104,450,16/1/2017 11:08,0
106,413,16/1/2017 11:57,0
107,492,16/1/2017 12:06,0
108,474,16/1/2017 12:55,0
109,592,16/1/2017 13:11,0
110,500,16/1/2017 13:14,0
111,500,16/1/2017 14:24,0
112,466,16/1/2017 15:21,0
114,635,16/1/2017 17:51,0
115,393,16/1/2017 18:30,0
117,643,17/1/2017 11:18,0
119,470,17/1/2017 13:58,0
